event_id,name,group_name,num_members,category_name,weight,year,month,dow
gnshwlyvlbgc,"Wednesday night races, Big boats, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,8,2
cgjxwlyvlbfc,Sailing Lesson at Hamilton Creek Marina,Nashville Sailing,280,Outdoors & Adventure,281,2016,8,1
dqshwlyvlbcc,"Sail a Dinghy, Vanguard 15 crew needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,8,6
232457734,Let's Meet Up at Grown Ups Camp for my 40th! ,Nashville Sailing,280,Outdoors & Adventure,281,2016,8,4
gnshwlyvlbwb,"Wednesday night races, Big boats, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,8,2
cgjxwlyvlbvb,Sailing Lesson at Hamilton Creek Marina,Nashville Sailing,280,Outdoors & Adventure,281,2016,8,1
dqshwlyvlbsb,"Sail a Dinghy, Vanguard 15 crew needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,8,6
gnshwlyvlbnb,"Wednesday night races, Big boats, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,8,2
dqshwlyvlbkb,"Sail a Dinghy, Vanguard 15 crew needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,8,6
232793284,Burger night at Percy Priest Yacht Club,Nashville Sailing,280,Outdoors & Adventure,281,2016,8,3
gnshwlyvlbfb,"Wednesday night races, Big boats, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,8,2
ldkntlyvjbmc,"Wednesday night races, Big boats, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,6,2
ldkntlyvjbdc,"Wednesday night races, Big boats, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,6,2
ldkntlyvjbtb,"Wednesday night races, Big boats, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,6,2
ldkntlyvjblb,"Wednesday night races, Big boats, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,6,2
ldkntlyvjbcb,"Wednesday night races, Big boats, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,6,2
qldhslyvhbpc,Sailing Lesson at Hamilton Creek Marina,Nashville Sailing,280,Outdoors & Adventure,281,2016,5,1
npdhslyvhbhc,"Wednesday night races, Big boats, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,5,2
qldhslyvhbgc,Sailing Lesson at Hamilton Creek Marina,Nashville Sailing,280,Outdoors & Adventure,281,2016,5,1
230631468,"Be on the race committee, a great learning expereince",Nashville Sailing,280,Outdoors & Adventure,281,2016,5,6
230191532,"Percy Priest Regatta, two day event,  J22 and V15, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,5,5
230631420,"Be on the race committee, a great learning expereince",Nashville Sailing,280,Outdoors & Adventure,281,2016,5,5
npdhslyvhbxb,"Wednesday night races, Big boats, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,5,2
qldhslyvhbwb,Sailing Lesson at Hamilton Creek Marina,Nashville Sailing,280,Outdoors & Adventure,281,2016,5,1
npdhslyvhbpb,"Wednesday night races, Big boats, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,5,2
qldhslyvhbnb,Sailing Lesson at Hamilton Creek Marina,Nashville Sailing,280,Outdoors & Adventure,281,2016,5,1
230191449,"Percy Priest Regatta, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,5,5
npdhslyvhbgb,"Wednesday night races, Big boats, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,5,2
qldhslyvhbfb,Sailing Lesson at Hamilton Creek Marina,Nashville Sailing,280,Outdoors & Adventure,281,2016,5,1
npdhslyvgbkc,"Wednesday night races, Big boats, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,4,2
qldhslyvgbjc,Free Sailing Lesson at Hamilton Creek Marina,Nashville Sailing,280,Outdoors & Adventure,281,2016,4,1
npdhslyvgbbc,"Wednesday night races, Big boats, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,4,2
229024140,HIYC Cuiser Regatta - no experience needed,Nashville Sailing,280,Outdoors & Adventure,281,2016,4,5
npdhslyvgbrb,"Wednesday night races, Big boats, no experience needed",Nashville Sailing,280,Outdoors & Adventure,281,2016,4,2
230191347,Free Sailing Lesson at Hamilton Creek Marina,Nashville Sailing,280,Outdoors & Adventure,281,2016,4,1
229024203,Dingy Race - some experience required,Nashville Sailing,280,Outdoors & Adventure,281,2016,4,5
229024079,HIYC Regatta- no experience needed,Nashville Sailing,280,Outdoors & Adventure,281,2016,3,5
229024165,HIYC Race- no experience needed,Nashville Sailing,280,Outdoors & Adventure,281,2016,3,5
dmmvnlyvdblc,Laser Sailing- Experienced Sailors,Nashville Sailing,280,Outdoors & Adventure,281,2016,2,6
ctclqlyvdbkc,Cruiser HIYC- no experience needed,Nashville Sailing,280,Outdoors & Adventure,281,2016,2,5
dmmvnlyvdbcc,Laser Sailing- Experienced Sailors,Nashville Sailing,280,Outdoors & Adventure,281,2016,2,6
ctclqlyvdbbc,Cruiser HIYC- no experience needed,Nashville Sailing,280,Outdoors & Adventure,281,2016,2,5
dmmvnlyvdbsb,Laser Sailing- Experienced Sailors,Nashville Sailing,280,Outdoors & Adventure,281,2016,2,6
dmmvnlyvdbkb,Laser Sailing- Experienced Sailors,Nashville Sailing,280,Outdoors & Adventure,281,2016,2,6
pfmvnlyvdbjb,Cruiser HIYC- no experience needed,Nashville Sailing,280,Outdoors & Adventure,281,2016,2,5
dmmvnlyvcbpc,Laser Sailing- Experienced Sailors,Nashville Sailing,280,Outdoors & Adventure,281,2016,1,6
pfmvnlyvcbnc,Cruiser HIYC- no experience needed,Nashville Sailing,280,Outdoors & Adventure,281,2016,1,5
dmmvnlyvcbgc,Laser Sailing- Experienced Sailors,Nashville Sailing,280,Outdoors & Adventure,281,2016,1,6
pfmvnlyvcbfc,Cruiser HIYC- no experience needed,Nashville Sailing,280,Outdoors & Adventure,281,2016,1,5
dmmvnlyvcbwb,Laser Sailing- Experienced Sailors,Nashville Sailing,280,Outdoors & Adventure,281,2016,1,6
pfmvnlyvcbvb,Cruiser HIYC- no experience needed,Nashville Sailing,280,Outdoors & Adventure,281,2016,1,5
226474708,Cruiser Regatta,Nashville Sailing,280,Outdoors & Adventure,281,2015,11,5
226474682,Big Boat Regatta- HIYC,Nashville Sailing,280,Outdoors & Adventure,281,2015,11,5
243366831,Color at Coco's,"Women, Wine, & Coloring",284,Arts & Culture,20,2017,10,2
242474652,Color at Coco's,"Women, Wine, & Coloring",284,Arts & Culture,20,2017,8,2
243889964,"Dopamine, Decision Making, and Risk for Drug Addiction",Science Club Nashville,281,Education & Learning,93,2017,10,1
243141263,Cracking Up: Disintegration of Ice Shelves in Antarctica,Science Club Nashville,281,Education & Learning,93,2017,9,1
