event_id,group_id,name,time
228613265,19496778,Let's meet up to support each other and our children with dyslexia.,27-02-2016 15:00
244583263,24446290,11th session- Family,28-10-2017 20:00
244321194,24446290,10th session- know thyself,21-10-2017 20:00
244164027,24446290,Study session- Obsession,14-10-2017 20:00
243970739,24446290,Study session-Mediumship,07-10-2017 19:45
243748598,24446290,Discussion on the plurality of the worlds,30-09-2017 20:00
243524770,24446290,Discussion on discarnation (passing away),23-09-2017 20:00
243336901,24446290,Reincarnation discussion,16-09-2017 20:00
242958789,24446290,"5th session- Spirit, perispirit and the body",09-09-2017 20:00
242730785,24446290,4th session- Spiritism and Allan Kardec,26-08-2017 21:00
242575017,24446290,3rd session- Jesus- please send me a message inbox so I can send you the chapter,19-08-2017 21:00
242363462,24446290,Meeting #2- God- Please send me your email inbox so I can send you the 1st chptr,12-08-2017 21:00
240769837,24446290,UPDATE!!Introducing Spiritism with members from the Charlotte Spiritist Center,06-08-2017 15:30
243488298,25972489,Meetup Lunch,03-10-2017 17:00
242926475,25694482,Meet and greet..Just us service providers sharing ideas and tips,20-09-2017 21:00
fpndtnywnbcc,24556869,FALL SEASON III GUILD BALL LEAGUE,21-10-2017 05:00
fpndtnywnbwb,24556869,FALL SEASON III GUILD BALL LEAGUE,17-10-2017 05:00
fpndtnywnbsb,24556869,FALL SEASON III GUILD BALL LEAGUE,14-10-2017 05:00
fpndtnywnbnb,24556869,FALL SEASON III GUILD BALL LEAGUE,10-10-2017 05:00
243396218,24556869,Wrath of Kings: Conquest of Kings Tournament,07-10-2017 17:00
fpndtnywnbkb,24556869,FALL SEASON III GUILD BALL LEAGUE,07-10-2017 05:00
fpndtnywnbfb,24556869,FALL SEASON III GUILD BALL LEAGUE,03-10-2017 05:00
fpndtnywmbnc,24556869,FALL SEASON III GUILD BALL LEAGUE,30-09-2017 05:00
fpndtnywmbjc,24556869,FALL SEASON III GUILD BALL LEAGUE,26-09-2017 05:00
fpndtnywmbhc,24556869,FALL SEASON III GUILD BALL LEAGUE,25-09-2017 05:00
240964986,24556869,Wrath of Kings July 2017 Week 4,22-07-2017 20:00
240964840,24556869,Wrath of Kings July 2017 Week 3,15-07-2017 20:00
240964642,24556869,Wrath of Kings July 2017 Week 2,08-07-2017 20:00
mxrcjnywkbgb,24556869,GC2 - Guild Ball Summer League 2017 (5-Weeks),04-07-2017 23:00
240919794,24556869,Wrath of Kings Demo,01-07-2017 20:00
mxrcjnywjbkc,24556869,GC2 - Guild Ball Summer League 2017 (5-Weeks),27-06-2017 23:00
mxrcjnywjbbc,24556869,GC2 - Guild Ball Summer League 2017 (5-Weeks),20-06-2017 23:00
227267904,18914937,SaltConf16,19-04-2016 13:00
244073127,25903892,Day of the Dead Face Painting,15-10-2017 19:00
243626790,25903892,Nashville's 38th Annual Oktoberfest Parade and Beer Festival,07-10-2017 17:30
243627655,25903892,Lunch at Gerst Haus,07-10-2017 16:00
243635917,25903892,Day of the Dead Face Painting Techniques,01-10-2017 19:00
